时间,币种,类型,方向,数量,价格,触发条件,执行状态,订单 ID
2025年12月2日 23:41,BTC,限价,买入,0.01133,88222.0,0.0,挂单,255769122873
2025年12月2日 23:41,BTC,限价,买入,0.01126,88777.0,0.0,撤单,255769028369
2025年12月2日 23:41,BTC,限价,买入,0.01126,88777.0,0.0,挂单,255769028369
2025年12月2日 23:41,BTC,限价,买入,0.0112,89222.0,0.0,撤单,255768842102
2025年12月2日 23:41,BTC,限价,买入,0.0112,89222.0,0.0,挂单,255768842102
2025年12月2日 23:35,BTC,限价,卖出,0.0,90777.0,0.0,已成交,255762600672
2025年12月2日 23:35,BTC,限价,卖出,0.01101,90777.0,0.0,挂单,255762600672
2025年12月2日 23:35,BTC,限价,卖出,0.01096,91222.0,0.0,撤单,255762490874
2025年12月2日 23:35,BTC,限价,卖出,0.01096,91222.0,0.0,挂单,255762490874
2025年12月2日 23:28,BTC,限价,买入,0.0,90147.0,0.0,已成交,255754391496
2025年12月2日 23:28,BTC,限价,买入,0.97924,90147.0,0.0,挂单,255754391496
2025年12月2日 23:19,BTC,限价,买入,0.97924,90092.0,0.0,撤单,255744950432
2025年12月2日 23:19,BTC,限价,买入,0.97924,90092.0,0.0,挂单,255744950432
2025年12月2日 23:16,BTC,限价,买入,1.00495,89952.0,0.0,撤单,255741690507
2025年12月2日 23:16,BTC,限价,买入,1.00495,89952.0,0.0,挂单,255741690507
2025年12月2日 23:11,BTC,限价,买入,1.00495,89777.0,0.0,撤单,255734608448
2025年12月2日 23:11,BTC,限价,买入,1.00495,89777.0,0.0,挂单,255734608448
2025年12月2日 22:57,BTC,限价,卖出,0.0,92777.0,0.0,已成交,255718882898
2025年12月2日 22:57,BTC,限价,卖出,0.01077,92777.0,0.0,挂单,255718882898
2025年12月2日 22:57,BTC,限价,卖出,0.01084,92222.0,0.0,撤单,255718724290
2025年12月2日 22:57,BTC,限价,卖出,0.01084,92222.0,0.0,挂单,255718724290
2025年12月2日 22:56,BTC,限价,卖出,0.01089,91777.0,0.0,撤单,255718575464
2025年12月2日 22:56,BTC,限价,卖出,0.01089,91777.0,0.0,挂单,255718575464
2025年12月2日 22:56,BTC,限价,卖出,0.01096,91222.0,0.0,撤单,255718484615
2025年12月2日 22:56,BTC,限价,卖出,0.01096,91222.0,0.0,挂单,255718484615
2025年12月2日 22:56,BTC,限价,卖出,0.01101,90777.0,0.0,撤单,255718346831
2025年12月2日 22:56,BTC,限价,卖出,0.01101,90777.0,0.0,挂单,255718346831
2025年12月2日 22:56,BTC,限价,卖出,0.01108,90222.0,0.0,撤单,255718123171
2025年12月2日 22:56,BTC,限价,卖出,0.01108,90222.0,0.0,挂单,255718123171
2025年12月2日 22:56,BTC,限价,卖出,0.0,89777.0,0.0,已成交,255717786795
2025年12月2日 22:56,BTC,限价,卖出,1.00495,89777.0,0.0,挂单,255717786795
2025年12月2日 22:55,BTC,限价,卖出,0.0,89777.0,0.0,已成交,255717652807
2025年12月2日 22:55,BTC,限价,卖出,0.01113,89777.0,0.0,挂单,255717652807
2025年12月2日 22:55,BTC,限价,卖出,0.0,89014.0,0.0,已成交,255717506379
2025年12月2日 22:55,BTC,限价,卖出,0.01123,89014.0,0.0,挂单,255717506379
2025年11月29日 13:07,BTC,限价,买入,0.15605,78853.0,0.0,撤单,252274660455
2025年11月29日 13:07,BTC,限价,买入,0.15605,78853.0,0.0,挂单,252274660455
2025年11月29日 13:07,BTC,限价,买入,0.15151,80391.0,0.0,撤单,252274608970
2025年11月29日 13:07,BTC,限价,买入,0.15151,80391.0,0.0,挂单,252274608970
2025年11月29日 13:07,BTC,限价,买入,0.04109,81623.0,0.0,撤单,252274526673
2025年11月29日 13:07,BTC,限价,买入,0.04109,81623.0,0.0,挂单,252274526673
2025年11月29日 13:06,BTC,限价,买入,0.04109,81264.0,0.0,撤单,252274086584
2025年11月29日 13:06,BTC,限价,买入,0.04109,81264.0,0.0,挂单,252274086584
2025年11月29日 13:06,BTC,限价,买入,0.04053,83489.0,0.0,撤单,252273987962
2025年11月29日 13:06,BTC,限价,买入,0.04053,83489.0,0.0,挂单,252273987962
2025年11月29日 13:06,BTC,限价,买入,0.0,85322.0,0.0,已成交,252273948275
2025年11月29日 13:06,BTC,限价,买入,0.03999,85322.0,0.0,挂单,252273948275
2025年11月29日 13:06,BTC,限价,买入,0.0,86303.0,0.0,已成交,252273825686
2025年11月29日 13:06,BTC,限价,买入,0.03946,86303.0,0.0,挂单,252273825686
2025年11月29日 13:05,BTC,限价,买入,0.0,87612.0,0.0,已成交,252273778365
2025年11月29日 13:05,BTC,限价,买入,0.03895,87612.0,0.0,挂单,252273778365
2025年11月25日 13:17,BTC,限价,卖出,0.0,90839.0,0.0,已成交,248127077597
2025年11月25日 13:17,BTC,限价,卖出,0.13154,90839.0,0.0,挂单,248127077597
2025年11月24日 22:45,BTC,限价,买入,0.03895,85179.0,0.0,撤单,247443569553
2025年11月24日 22:45,BTC,限价,买入,0.03895,85179.0,0.0,挂单,247443569553
2025年11月24日 22:06,BTC,限价,卖出,0.13154,90941.0,0.0,撤单,247407783432
2025年11月24日 22:06,BTC,限价,卖出,0.13154,90941.0,0.0,挂单,247407783432
2025年11月24日 22:06,BTC,限价,卖出,0.0,89607.0,0.0,已成交,247407708122
2025年11月24日 22:06,BTC,限价,卖出,0.12468,89607.0,0.0,挂单,247407708122
2025年11月24日 22:06,BTC,限价,卖出,0.0,87893.0,0.0,已成交,247407563348
2025年11月24日 22:06,BTC,限价,卖出,0.11358,87893.0,0.0,挂单,247407563348
2025年11月24日 05:43,BTC,限价,卖出,0.12468,89903.0,0.0,撤单,246613284390
2025年11月24日 05:43,BTC,限价,卖出,0.12468,89903.0,0.0,挂单,246613284390
2025年11月24日 05:43,BTC,限价,卖出,0.11358,88458.0,0.0,撤单,246613213097
2025年11月24日 05:43,BTC,限价,卖出,0.11358,88458.0,0.0,挂单,246613213097
2025年11月24日 03:30,BTC,限价,卖出,0.03366,98999.0,0.0,撤单,246523492087
2025年11月24日 03:30,BTC,限价,卖出,0.03366,98999.0,0.0,挂单,246523492087
2025年11月24日 03:30,BTC,限价,卖出,0.0337,98888.0,0.0,撤单,246523433906
2025年11月24日 03:30,BTC,限价,卖出,0.0337,98888.0,0.0,挂单,246523433906
2025年11月24日 03:30,BTC,限价,卖出,0.03378,98666.0,0.0,撤单,246523376871
2025年11月24日 03:30,BTC,限价,卖出,0.03378,98666.0,0.0,挂单,246523376871
2025年11月24日 03:30,BTC,限价,卖出,0.03385,98444.0,0.0,撤单,246523281336
2025年11月24日 03:30,BTC,限价,卖出,0.03385,98444.0,0.0,挂单,246523281336
2025年11月24日 03:30,BTC,限价,卖出,0.03401,97999.0,0.0,撤单,246523207349
2025年11月24日 03:30,BTC,限价,卖出,0.03401,97999.0,0.0,挂单,246523207349
2025年11月24日 03:29,BTC,限价,卖出,0.0342,97444.0,0.0,撤单,246522735090
2025年11月24日 03:29,BTC,限价,卖出,0.0342,97444.0,0.0,挂单,246522735090
2025年11月24日 03:29,BTC,限价,卖出,0.03436,96999.0,0.0,撤单,246522693120
2025年11月24日 03:29,BTC,限价,卖出,0.03436,96999.0,0.0,挂单,246522693120
2025年11月24日 03:29,BTC,限价,卖出,0.03488,95435.0,0.0,撤单,246522584032
2025年11月24日 03:29,BTC,限价,卖出,0.03488,95435.0,0.0,挂单,246522584032
2025年11月24日 03:29,BTC,限价,卖出,0.03447,96478.0,0.0,撤单,246522545113
2025年11月24日 03:29,BTC,限价,卖出,0.03447,96478.0,0.0,挂单,246522545113
2025年11月24日 03:28,BTC,限价,卖出,0.03447,96666.0,0.0,撤单,246522125329
2025年11月24日 03:28,BTC,限价,卖出,0.03447,96666.0,0.0,挂单,246522125329
2025年11月24日 03:28,BTC,限价,卖出,0.03488,95555.0,0.0,撤单,246521845276
2025年11月24日 03:28,BTC,限价,卖出,0.03488,95555.0,0.0,挂单,246521845276
2025年11月24日 03:28,BTC,限价,卖出,0.03529,94444.0,0.0,撤单,246521768670
2025年11月24日 03:28,BTC,限价,卖出,0.03529,94444.0,0.0,挂单,246521768670
2025年11月24日 03:27,BTC,限价,买入,0.03895,85153.0,0.0,撤单,246521294718
2025年11月24日 03:27,BTC,限价,买入,0.03895,85153.0,0.0,挂单,246521294718
2025年11月24日 03:27,BTC,限价,买入,0.03895,85555.0,0.0,撤单,246521173481
2025年11月24日 03:27,BTC,限价,买入,0.03895,85555.0,0.0,挂单,246521173481
2025年11月23日 23:54,BTC,限价,买入,0.03946,84444.0,0.0,撤单,246366037404
2025年11月23日 23:54,BTC,限价,买入,0.03946,84444.0,0.0,挂单,246366037404
2025年11月23日 23:54,BTC,限价,买入,0.03999,83333.0,0.0,撤单,246365997252
2025年11月23日 23:54,BTC,限价,买入,0.03999,83333.0,0.0,挂单,246365997252
2025年11月23日 23:54,BTC,限价,买入,0.04053,82222.0,0.0,撤单,246365893324
2025年11月23日 23:54,BTC,限价,买入,0.04053,82222.0,0.0,挂单,246365893324
2025年11月23日 23:54,BTC,限价,买入,0.04109,81111.0,0.0,撤单,246365708047
2025年11月23日 23:54,BTC,限价,买入,0.04109,81111.0,0.0,挂单,246365708047
2025年11月23日 12:42,BTC,限价,卖出,0.03529,93619.0,0.0,撤单,245881031832
2025年11月23日 12:42,BTC,限价,卖出,0.03529,93619.0,0.0,挂单,245881031832
2025年11月23日 12:42,BTC,限价,卖出,0.0,92882.0,0.0,已成交,245881015857
2025年11月23日 12:42,BTC,限价,卖出,0.03571,92882.0,0.0,挂单,245881015857
2025年11月23日 12:42,BTC,限价,卖出,0.0,92013.0,0.0,已成交,245880901841
2025年11月23日 12:42,BTC,限价,卖出,0.03614,92013.0,0.0,挂单,245880901841
2025年11月23日 12:42,BTC,限价,卖出,0.13154,91205.0,0.0,撤单,245880883307
2025年11月23日 12:42,BTC,限价,卖出,0.13154,91205.0,0.0,挂单,245880883307
2025年11月23日 12:42,BTC,限价,卖出,0.12468,89677.0,0.0,撤单,245880862574
2025年11月23日 12:42,BTC,限价,卖出,0.12468,89677.0,0.0,挂单,245880862574
2025年11月23日 12:42,BTC,限价,卖出,0.11358,87849.0,0.0,撤单,245880842980
2025年11月23日 12:42,BTC,限价,卖出,0.11358,87849.0,0.0,挂单,245880842980
2025年11月23日 11:51,BTC,限价,卖出,0.03529,93714.0,0.0,撤单,245840358114
2025年11月23日 11:51,BTC,限价,卖出,0.03529,93714.0,0.0,挂单,245840358114
2025年11月23日 11:51,BTC,限价,卖出,0.03571,92982.0,0.0,撤单,245840337088
2025年11月23日 11:51,BTC,限价,卖出,0.03571,92982.0,0.0,挂单,245840337088
2025年11月23日 11:51,BTC,限价,卖出,0.03529,94444.0,0.0,撤单,245840197741
2025年11月23日 11:51,BTC,限价,卖出,0.03529,94444.0,0.0,挂单,245840197741
2025年11月23日 11:51,BTC,限价,卖出,0.03571,93333.0,0.0,撤单,245840072492
2025年11月23日 11:51,BTC,限价,卖出,0.03571,93333.0,0.0,挂单,245840072492
2025年11月23日 11:51,BTC,限价,卖出,0.03614,92222.0,0.0,撤单,245839983954
2025年11月23日 11:51,BTC,限价,卖出,0.03614,92222.0,0.0,挂单,245839983954
2025年11月23日 11:50,BTC,限价,卖出,0.10713,93333.0,0.0,撤单,245839617060
2025年11月23日 11:50,BTC,限价,卖出,0.10713,93333.0,0.0,挂单,245839617060
2025年11月23日 11:49,BTC,限价,卖出,0.11358,88029.0,0.0,撤单,245838875369
2025年11月23日 11:49,BTC,限价,卖出,0.11358,88029.0,0.0,挂单,245838875369
2025年11月23日 11:49,BTC,限价,卖出,0.0,86427.0,0.0,已成交,245838716836
2025年11月23日 11:49,BTC,限价,卖出,0.10283,86427.0,0.0,挂单,245838716836
2025年11月23日 11:48,BTC,限价,卖出,0.11569,86427.0,0.0,撤单,245838172311
2025年11月23日 11:48,BTC,限价,卖出,0.11569,86427.0,0.0,挂单,245838172311
2025年11月23日 11:48,BTC,限价,卖出,0.13154,91434.0,0.0,撤单,245837889809
2025年11月23日 11:48,BTC,限价,卖出,0.13154,91434.0,0.0,挂单,245837889809
2025年11月23日 11:48,BTC,限价,卖出,0.12468,89799.0,0.0,撤单,245837850673
2025年11月23日 11:48,BTC,限价,卖出,0.12468,89799.0,0.0,挂单,245837850673
2025年11月23日 11:48,BTC,限价,卖出,0.12658,88055.0,0.0,撤单,245837816254
2025年11月23日 11:48,BTC,限价,卖出,0.12658,88055.0,0.0,挂单,245837816254
2025年11月23日 11:47,BTC,限价,卖出,0.13154,91677.0,0.0,撤单,245837383930
2025年11月23日 11:47,BTC,限价,卖出,0.13154,91677.0,0.0,挂单,245837383930
2025年11月23日 11:47,BTC,限价,卖出,0.13154,92020.0,0.0,撤单,245837292941
2025年11月23日 11:47,BTC,限价,卖出,0.13154,92020.0,0.0,挂单,245837292941
2025年11月23日 11:47,BTC,限价,卖出,0.12468,90031.0,0.0,撤单,245837242623
2025年11月23日 11:47,BTC,限价,卖出,0.12468,90031.0,0.0,挂单,245837242623
2025年11月23日 11:47,BTC,限价,卖出,0.12658,88157.0,0.0,撤单,245837134559
2025年11月23日 11:47,BTC,限价,卖出,0.12658,88157.0,0.0,挂单,245837134559
2025年11月23日 11:46,BTC,限价,卖出,0.13154,92911.0,0.0,撤单,245836397837
2025年11月23日 11:46,BTC,限价,卖出,0.13154,92911.0,0.0,挂单,245836397837
2025年11月23日 01:45,BTC,限价,卖出,0.1282,86427.0,0.0,撤单,245396054358
2025年11月23日 01:45,BTC,限价,卖出,0.1282,86427.0,0.0,挂单,245396054358
2025年11月23日 01:45,BTC,限价,卖出,0.12658,88974.0,0.0,撤单,245396010540
2025年11月23日 01:45,BTC,限价,卖出,0.12658,88974.0,0.0,挂单,245396010540
2025年11月23日 01:45,BTC,限价,卖出,0.12468,91004.0,0.0,撤单,245395932555
2025年11月23日 01:45,BTC,限价,卖出,0.12468,91004.0,0.0,挂单,245395932555
2025年11月21日 20:19,BTC,限价,卖出,0.0,83333.0,0.0,已成交,243795864730
2025年11月21日 20:19,BTC,限价,卖出,0.03999,83333.0,0.0,挂单,243795864730
2025年11月21日 20:19,BTC,限价,卖出,0.0,84444.0,0.0,已成交,243795632073
2025年11月21日 20:19,BTC,限价,卖出,0.07893,84444.0,0.0,挂单,243795632073
2025年11月21日 20:19,BTC,限价,卖出,0.0,85555.0,0.0,已成交,243795561054
2025年11月21日 20:19,BTC,限价,卖出,0.07791,85555.0,0.0,挂单,243795561054
2025年11月21日 20:19,BTC,限价,卖出,0.1282,86666.0,0.0,撤单,243795448228
2025年11月21日 20:19,BTC,限价,卖出,0.1282,86666.0,0.0,挂单,243795448228
2025年11月21日 20:19,BTC,限价,卖出,0.12658,87777.0,0.0,撤单,243795342034
2025年11月21日 20:19,BTC,限价,卖出,0.12658,87777.0,0.0,挂单,243795342034
2025年11月21日 20:19,BTC,限价,卖出,0.12468,89111.0,0.0,撤单,243795240161
2025年11月21日 20:19,BTC,限价,卖出,0.12468,89111.0,0.0,挂单,243795240161
2025年11月21日 20:19,BTC,限价,卖出,1.24688,89111.0,0.0,撤单,243795035865
2025年11月21日 20:19,BTC,限价,卖出,1.24688,89111.0,0.0,挂单,243795035865
2025年11月21日 20:18,BTC,限价,买入,0.33638,72666.0,0.0,挂单,243794018278
2025年11月21日 20:17,BTC,限价,买入,0.32524,74927.0,0.0,挂单,243793599714
2025年11月21日 20:17,BTC,限价,买入,0.33141,73756.0,0.0,挂单,243793402307
2025年11月21日 20:17,BTC,限价,买入,0.33141,73756.0,0.0,撤单,243793207388
2025年11月21日 20:17,BTC,限价,买入,0.33141,73756.0,0.0,挂单,243793207388
2025年11月21日 20:17,BTC,限价,买入,0.32524,75155.0,0.0,撤单,243792987846
2025年11月21日 20:17,BTC,限价,买入,0.32524,75155.0,0.0,挂单,243792987846
2025年11月21日 20:17,BTC,限价,买入,0.32097,76156.0,0.0,挂单,243792679683
2025年11月21日 20:16,BTC,限价,买入,0.43769,76156.0,0.0,撤单,243792487025
2025年11月21日 20:16,BTC,限价,买入,0.43769,76156.0,0.0,挂单,243792487025
2025年11月21日 20:16,BTC,限价,买入,0.15817,77267.0,0.0,挂单,243792113638
2025年11月21日 20:16,BTC,限价,买入,0.15605,78318.0,0.0,撤单,243791791879
2025年11月21日 20:16,BTC,限价,买入,0.15605,78318.0,0.0,挂单,243791791879
2025年11月21日 20:15,BTC,限价,买入,0.14187,78318.0,0.0,撤单,243791607847
2025年11月21日 20:15,BTC,限价,买入,0.14187,78318.0,0.0,挂单,243791607847
2025年11月21日 17:49,BTC,限价,买入,0.44378,75111.0,0.0,撤单,243633233363
2025年11月21日 17:49,BTC,限价,买入,0.44378,75111.0,0.0,挂单,243633233363
2025年11月21日 17:48,BTC,限价,买入,0.43769,76156.0,0.0,撤单,243633025015
2025年11月21日 17:48,BTC,限价,买入,0.43769,76156.0,0.0,挂单,243633025015
2025年11月21日 17:34,BTC,限价,买入,0.43769,76156.0,0.0,撤单,243616651550
2025年11月21日 17:34,BTC,限价,买入,0.43769,76156.0,0.0,挂单,243616651550
2025年11月21日 17:20,BTC,限价,买入,0.30683,77267.0,0.0,撤单,243602000981
2025年11月21日 17:20,BTC,限价,买入,0.30683,77267.0,0.0,挂单,243602000981
2025年11月21日 17:20,BTC,限价,买入,0.30512,78318.0,0.0,撤单,243601743602
2025年11月21日 17:20,BTC,限价,买入,0.30512,78318.0,0.0,挂单,243601743602
2025年11月21日 17:20,BTC,限价,买入,0.61796,76156.0,0.0,撤单,243601539823
2025年11月21日 17:20,BTC,限价,买入,0.61796,76156.0,0.0,挂单,243601539823
2025年11月21日 17:19,BTC,限价,买入,0.62146,75012.0,0.0,撤单,243601484099
2025年11月21日 17:19,BTC,限价,买入,0.62146,75012.0,0.0,挂单,243601484099
2025年11月21日 17:19,BTC,限价,买入,0.30683,77128.0,0.0,撤单,243601298532
2025年11月21日 17:19,BTC,限价,买入,0.30683,77128.0,0.0,挂单,243601298532
2025年11月21日 17:19,BTC,限价,买入,0.61796,76082.0,0.0,撤单,243601227277
2025年11月21日 17:19,BTC,限价,买入,0.61796,76082.0,0.0,挂单,243601227277
2025年11月21日 17:19,BTC,限价,买入,0.62146,74841.0,0.0,撤单,243601078218
2025年11月21日 17:19,BTC,限价,买入,0.62146,74841.0,0.0,挂单,243601078218
2025年11月21日 17:19,BTC,限价,买入,0.62587,73756.0,0.0,撤单,243601006021
2025年11月21日 17:19,BTC,限价,买入,0.62587,73756.0,0.0,挂单,243601006021
2025年11月21日 17:19,BTC,限价,卖出,0.0,83600.0,0.0,已成交,243600779151
2025年11月21日 17:19,BTC,限价,卖出,0.07973,83600.0,0.0,挂单,243600779151
2025年11月21日 16:36,BTC,限价,卖出,0.0,84012.0,0.0,已成交,243555471878
2025年11月21日 16:36,BTC,限价,卖出,0.07934,84012.0,0.0,挂单,243555471878
2025年11月21日 16:30,BTC,限价,卖出,0.0,84264.0,0.0,已成交,243548739259
2025年11月21日 16:30,BTC,限价,卖出,0.0791,84264.0,0.0,挂单,243548739259
2025年11月21日 15:27,BTC,限价,买入,0.0,81193.0,0.0,已成交,243475458022
2025年11月21日 15:27,BTC,限价,买入,0.14965,81193.0,0.0,挂单,243475458022
2025年11月21日 15:27,BTC,限价,买入,0.0,80281.0,0.0,已成交,243475349356
2025年11月21日 15:27,BTC,限价,买入,0.15068,80281.0,0.0,挂单,243475349356
2025年11月21日 15:27,BTC,限价,买入,0.15151,79598.0,0.0,撤单,243475326669
2025年11月21日 15:27,BTC,限价,买入,0.15151,79598.0,0.0,挂单,243475326669
2025年11月21日 15:27,BTC,限价,买入,0.30512,78724.0,0.0,撤单,243475278543
2025年11月21日 15:27,BTC,限价,买入,0.30512,78724.0,0.0,挂单,243475278543
2025年11月21日 15:27,BTC,限价,买入,0.30683,77824.0,0.0,撤单,243475209213
2025年11月21日 15:27,BTC,限价,买入,0.30683,77824.0,0.0,挂单,243475209213
2025年11月21日 15:27,BTC,限价,买入,0.61796,76785.0,0.0,撤单,243475116001
2025年11月21日 15:27,BTC,限价,买入,0.61796,76785.0,0.0,挂单,243475116001
2025年11月21日 15:27,BTC,限价,买入,0.62146,75802.0,0.0,撤单,243475034945
2025年11月21日 15:27,BTC,限价,买入,0.62146,75802.0,0.0,挂单,243475034945
2025年11月21日 15:27,BTC,限价,买入,0.62587,74873.0,0.0,撤单,243474976610
2025年11月21日 15:27,BTC,限价,买入,0.62587,74873.0,0.0,挂单,243474976610
2025年11月20日 00:10,BTC,限价,买入,0.62587,78111.0,0.0,撤单,241283051729
2025年11月20日 00:10,BTC,限价,买入,0.62587,78111.0,0.0,挂单,241283051729
2025年11月20日 00:10,BTC,限价,买入,0.62146,78666.0,0.0,撤单,241282914018
2025年11月20日 00:10,BTC,限价,买入,0.62146,78666.0,0.0,挂单,241282914018
2025年11月20日 00:10,BTC,限价,买入,0.61796,79111.0,0.0,撤单,241282680580
2025年11月20日 00:10,BTC,限价,买入,0.61796,79111.0,0.0,挂单,241282680580
2025年11月20日 00:09,BTC,限价,买入,0.30683,79666.0,0.0,撤单,241282321481
2025年11月20日 00:09,BTC,限价,买入,0.30683,79666.0,0.0,挂单,241282321481
2025年11月20日 00:09,BTC,限价,买入,0.30512,80111.0,0.0,撤单,241282118245
2025年11月20日 00:09,BTC,限价,买入,0.30512,80111.0,0.0,挂单,241282118245
2025年11月16日 02:13,BTC,限价,买入,0.0,96290.0,0.0,已成交,236386177574
2025年11月16日 02:13,BTC,限价,买入,0.01153,96290.0,0.0,挂单,236386177574
2025年11月16日 01:39,BTC,限价,买入,0.15151,80666.0,0.0,撤单,236359283949
2025年11月16日 01:39,BTC,限价,买入,0.15151,80666.0,0.0,挂单,236359283949
2025年11月16日 01:38,BTC,限价,买入,0.15068,81111.0,0.0,撤单,236359173921
2025年11月16日 01:38,BTC,限价,买入,0.15068,81111.0,0.0,挂单,236359173921
2025年11月16日 01:38,BTC,限价,买入,0.14965,81666.0,0.0,撤单,236359134576
2025年11月16日 01:38,BTC,限价,买入,0.14965,81666.0,0.0,挂单,236359134576
2025年11月16日 01:38,BTC,限价,买入,0.0,82222.0,0.0,已成交,236359061446
2025年11月16日 01:38,BTC,限价,买入,0.14864,82222.0,0.0,挂单,236359061446
2025年11月16日 01:38,BTC,限价,买入,0.0,83108.0,0.0,已成交,236359011867
2025年11月16日 01:38,BTC,限价,买入,0.14864,83108.0,0.0,挂单,236359011867
2025年11月16日 01:38,BTC,限价,买入,0.0,84759.0,0.0,已成交,236358961045
2025年11月16日 01:38,BTC,限价,买入,0.07893,84759.0,0.0,挂单,236358961045
2025年11月16日 01:38,BTC,限价,买入,0.14864,83026.0,0.0,撤单,236358901614
2025年11月16日 01:38,BTC,限价,买入,0.14864,83026.0,0.0,挂单,236358901614
2025年11月16日 01:38,BTC,限价,买入,0.14864,82222.0,0.0,撤单,236358867541
2025年11月16日 01:38,BTC,限价,买入,0.14864,82222.0,0.0,挂单,236358867541
2025年11月16日 01:38,BTC,限价,买入,0.0,83996.0,0.0,已成交,236358795086
2025年11月16日 01:38,BTC,限价,买入,0.07999,83996.0,0.0,挂单,236358795086
2025年11月16日 01:38,BTC,限价,买入,0.07999,83333.0,0.0,撤单,236358641264
2025年11月16日 01:38,BTC,限价,买入,0.07999,83333.0,0.0,挂单,236358641264
2025年11月16日 01:38,BTC,限价,买入,0.0,85555.0,0.0,已成交,236358476697
2025年11月16日 01:38,BTC,限价,买入,0.07791,85555.0,0.0,挂单,236358476697
2025年11月16日 01:38,BTC,限价,买入,0.07893,84854.0,0.0,撤单,236358433563
2025年11月16日 01:38,BTC,限价,买入,0.07893,84854.0,0.0,挂单,236358433563
2025年11月16日 01:37,BTC,限价,买入,0.07731,86386.0,0.0,撤单,236358315903
2025年11月16日 01:37,BTC,限价,买入,0.07731,86386.0,0.0,挂单,236358315903
2025年11月16日 01:37,BTC,限价,买入,0.07731,86222.0,0.0,撤单,236358230455
2025年11月16日 01:37,BTC,限价,买入,0.07731,86222.0,0.0,挂单,236358230455
2025年11月16日 01:37,BTC,限价,买入,0.07893,84444.0,0.0,撤单,236357768640
2025年11月16日 01:37,BTC,限价,买入,0.07893,84444.0,0.0,挂单,236357768640
2025年11月16日 01:37,BTC,限价,买入,0.07791,85555.0,0.0,撤单,236357696336
2025年11月16日 01:37,BTC,限价,买入,0.07791,85555.0,0.0,挂单,236357696336
2025年11月16日 01:36,BTC,限价,买入,0.0,87162.0,0.0,已成交,236357434369
2025年11月16日 01:36,BTC,限价,买入,0.03845,87162.0,0.0,挂单,236357434369
2025年11月16日 01:36,BTC,限价,买入,0.03845,86666.0,0.0,撤单,236357347110
2025年11月16日 01:36,BTC,限价,买入,0.03845,86666.0,0.0,挂单,236357347110
2025年11月16日 01:36,BTC,限价,买入,0.0,88434.0,0.0,已成交,236357172639
2025年11月16日 01:36,BTC,限价,买入,0.02499,88434.0,0.0,挂单,236357172639
2025年11月16日 01:36,BTC,限价,买入,0.03797,87777.0,0.0,撤单,236357059743
2025年11月16日 01:36,BTC,限价,买入,0.03797,87777.0,0.0,挂单,236357059743
2025年11月16日 01:35,BTC,限价,买入,0.02499,88023.0,0.0,撤单,236356230815
2025年11月16日 01:35,BTC,限价,买入,0.02499,88023.0,0.0,挂单,236356230815
2025年11月16日 01:35,BTC,限价,买入,0.02499,88912.0,0.0,撤单,236356018574
2025年11月16日 01:35,BTC,限价,买入,0.02499,88912.0,0.0,挂单,236356018574
2025年11月16日 01:34,BTC,限价,买入,0.02493,89123.0,0.0,撤单,236355719977
2025年11月16日 01:34,BTC,限价,买入,0.02493,89123.0,0.0,挂单,236355719977
2025年11月16日 01:34,BTC,限价,买入,0.0,90123.0,0.0,已成交,236355635972
2025年11月16日 01:34,BTC,限价,买入,0.02465,90123.0,0.0,挂单,236355635972
2025年11月16日 01:34,BTC,限价,买入,0.0,91111.0,0.0,已成交,236355489698
2025年11月16日 01:34,BTC,限价,买入,0.01219,91111.0,0.0,挂单,236355489698
2025年11月16日 01:34,BTC,限价,买入,0.0,92222.0,0.0,已成交,236355371552
2025年11月16日 01:34,BTC,限价,买入,0.01204,92222.0,0.0,挂单,236355371552
2025年11月16日 01:34,BTC,限价,买入,0.0,93333.0,0.0,已成交,236355289111
2025年11月16日 01:34,BTC,限价,买入,0.0119,93333.0,0.0,挂单,236355289111
2025年11月16日 01:34,BTC,限价,买入,0.0,94444.0,0.0,已成交,236355177205
2025年11月16日 01:34,BTC,限价,买入,0.01176,94444.0,0.0,挂单,236355177205
2025年11月16日 01:34,BTC,限价,买入,0.0,95941.0,0.0,已成交,236354947266
2025年11月16日 01:34,BTC,限价,买入,0.01158,95941.0,0.0,挂单,236354947266
