time,symbol,side,notional,qty,price
2024-11-13 14:51:09.717000+00:00,XBTUSD,Sell,240000.0000,240000.0000,91311.0000
2024-11-13 14:31:12.450000+00:00,XBTUSD,Sell,240000.0000,240000.0000,90384.7000
2024-11-11 23:02:32.581000+00:00,XBTUSD,Sell,240000.0000,240000.0000,89105.0000
2024-07-29 02:34:43.192000+00:00,XBTUSD,Sell,240000.0000,240000.0000,69555.0000
2022-02-05 02:42:43.651000+00:00,XBTUSD,Sell,240000.0000,240000.0000,41420.0000
2021-08-13 20:16:17.954000+00:00,XBTUSD,Sell,240000.0000,240000.0000,47810.0000
2021-08-09 18:39:18.728000+00:00,XBTUSD,Sell,240000.0000,240000.0000,46344.0000
2021-07-26 18:27:16.339000+00:00,XBTUSD,Sell,240000.0000,240000.0000,39666.0000
2020-10-02 19:49:08.764000+00:00,XBTUSD,Sell,237172.0000,237172.0000,10524.5000
2021-06-05 14:47:48.300000+00:00,XBTM21,Sell,234115.0000,234115.0000,35712.5000
2022-02-18 14:36:09.043000+00:00,XBTUSD,Sell,232500.0000,232500.0000,39900.0000
2021-04-26 11:24:51.713000+00:00,XBTUSD,Sell,230310.0000,230310.0000,53666.0000
2021-03-19 02:31:54.392000+00:00,XBTUSD,Sell,230099.0000,230099.0000,57533.0000
2021-03-19 01:57:46.196000+00:00,XBTUSD,Sell,229999.0000,229999.0000,57322.0000
2021-03-19 01:57:46.196000+00:00,XBTUSD,Sell,229999.0000,229999.0000,57347.0000
2021-03-19 01:57:01.679000+00:00,XBTUSD,Sell,229999.0000,229999.0000,57297.0000
2021-03-19 01:48:15.249000+00:00,XBTUSD,Sell,229999.0000,229999.0000,57222.0000
2021-03-19 01:48:04.725000+00:00,XBTUSD,Sell,229999.0000,229999.0000,57157.5000
2021-11-25 11:09:40.895000+00:00,ETHUSD,Sell,226452.8696,888.0000,4399.0000
2021-05-12 00:04:35.476000+00:00,XBTUSD,Sell,225163.0000,225163.0000,56999.0000
2021-05-28 04:08:33.835000+00:00,ETHUSD,Sell,225068.5285,2194.0000,2697.9500
2020-09-04 06:40:43.064000+00:00,XBTUSD,Sell,223842.0000,223842.0000,10283.5000
2021-01-15 20:44:32.041000+00:00,XBTUSD,Sell,223333.0000,223333.0000,35399.0000
2020-10-01 16:48:20.140000+00:00,XBTUSD,Sell,223333.0000,223333.0000,10525.0000
2021-07-11 01:29:42.556000+00:00,XBTUSD,Sell,223000.0000,223000.0000,33679.5000
2021-05-19 13:44:40.631000+00:00,XBTUSD,Sell,222222.0000,222222.0000,36666.0000
2021-05-19 13:43:51.432000+00:00,XBTUSD,Sell,222222.0000,222222.0000,36333.0000
2021-05-19 13:39:32.483000+00:00,XBTUSD,Sell,222222.0000,222222.0000,35666.0000
2021-05-14 09:11:07.258000+00:00,XBTUSD,Sell,222222.0000,222222.0000,50555.0000
2021-05-14 00:03:11.398000+00:00,XBTUSD,Sell,222222.0000,222222.0000,49989.5000
2021-04-26 04:00:10.664000+00:00,XBTUSD,Sell,222222.0000,222222.0000,52555.0000
2021-04-24 15:49:25.746000+00:00,XBTUSD,Sell,222222.0000,222222.0000,50285.5000
2021-04-18 01:14:31.291000+00:00,XBTUSD,Sell,222222.0000,222222.0000,59440.5000
2021-05-13 17:08:39.236000+00:00,XBTUSD,Sell,220823.0000,220823.0000,48139.0000
2021-09-06 18:55:26.809000+00:00,XBTUSD,Sell,220000.0000,220000.0000,51888.0000
2021-05-13 17:05:03.088000+00:00,XBTUSD,Sell,219728.0000,219728.0000,48483.5000
