时间,币种,方向,类型,总额(USD),数量(BTC),单价(USD),状态,订单号
2 天前,BTC,卖出,限价,3299.59,0.03436,96030.0,开仓,266945766612
2 天前,BTC,卖出,限价,1973.62,0.02083,94749.0,开仓,266945640621
2 天前,BTC,卖出,限价,1960.43,0.021,93354.0,开仓,266945623332
3 天前,BTC,卖出,限价,3326.22,0.0342,97258.0,开仓,266463398177
4 天前,BTC,卖出,限价,3353.69,0.03385,99075.0,开仓,264886330014
6 天前,BTC,卖出,限价,3342.40,0.03401,98277.0,开仓,262245080348
6 天前,BTC,卖出,限价,3373.57,0.03378,99869.0,开仓,262244906734
6 天前,BTC,卖出,限价,3389.85,0.0337,100589.0,开仓,262244750058
6 天前,BTC,卖出,限价,3404.98,0.03366,101158.0,开仓,262244701989
